Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,Adress
Vol en hélicoptère au-dessus de New York,894,184.3,12 813 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,15 min - 20 min,Anglais,NewYork
Billet pour l'Empire State,1688,45.5,28 888 ,9.10 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,NewYork
Billet pour le Mémorial et le Musée du 11 Septembre,229,28.5,4 934 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Go City : New York Explorer Pass,1005,65.5,30 326 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Visite de la Statue de la Liberté et Ellis Island,962,48.2,11 552 ,7.90 / 10,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,NewYork
Visite guidée de Harlem avec messe Gospel,29,73.6,333 ,9.40 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Français,NewYork
Vol en hélicoptère de nuit à New York,25,71.2,461 ,9.50 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,30 minutes,Anglais,NewYork
Billet pour le Summit One Vanderbilt,104,231.8,3 374 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Bus touristique de New York,143,40.3,2 541 ,7.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Anglais et espagnol,NewYork
Billet coupe-file pour le One World,976,50.4,14 219 ,9.30 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,NewYork
New York CityPASS,52,44.4,2 000 ,8.90 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,9 jours,-1,NewYork
Billet pour The Edge,164,122.5,4 585 ,8.40 / 10,Si vous annulez juste après avoir réservé: vous aurez une pénalité de 0 du montant total. Si vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Excursion shopping dans les outlets,2507,41.3,32 583 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,10h - 10h30,-1,NewYork
Balade en bateau au sud de Manhattan,86,39.9,1 782 ,8.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,1h30,Anglais,NewYork
Croisière au coucher de soleil,328,35.1,5 055 ,8.50 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,Anglais,NewYork
Visite à la découverte des contrastes de New York,92,41.8,895 ,9.10 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,5 heures,Anglais,NewYork
Visite privée dans New York,2,57,5 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,NewYork
Excursion à vélo dans le Brooklyn insolite,-1,85.5,6 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,6 heures,Français,NewYork
Balade en bateau autour de Manhattan,31,99,371 ,8.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,Anglais,NewYork
Circuit sur les traces de Gossip Girl,3,41.8,137 ,8.70 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,NewYork
Circuit cinéma à travers les scènes de films et de séries,13,62.7,134 ,7.50 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,Français,NewYork
Free tour dans New York,6347,57.9,56 498 ,9.30 / 10,-1,2h30,Anglais,NewYork
Billet pour Top of the Rock + Musée du 11-Septembre,6,0,257 ,7.30 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 jours,-1,NewYork
Billet pour le MoMA,91,66.5,2 017 ,8.70 / 10,Si vous annulez juste après avoir réservé: nous vous rembourserons 100% du montant total. Si vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,NewYork
Carte eSIM avec Internet aux États-Unis,14,23.7,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,NewYork
Tournée des rooftops de New York,56,21.3,999 ,6.80 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,NewYork
Excursion à Washington DC depuis New York,47,71.2,445 ,8.90 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,15 heures,Français,NewYork
Balade en calèche dans Central Park,14,160.5,260 ,7.70 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,45 minutes,-1,NewYork
Billet pour Le Fantôme de l'Opéra,264,141.5,2 879 ,8.90 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,NewYork
The New York Pass,283,116.8,7 517 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 10 jours,-1,NewYork
Excursion à Philadelphie et dans un comté Amish,14,134.9,165 ,8.30 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,14 heures,Français,NewYork
Billet pour Chicago,78,160.5,712 ,9.60 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,NewYork
Excursion de 4 jours à Niagara,-1,105.4,20 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 jours,Français,NewYork
Location de vélo à New York,74,745.8,990 ,9.10 / 10,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,-1,NewYork
Excursion d'une journée à Boston,10,28.9,135 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,14 heures,Français,NewYork
Visite autour du street art et de la culture hipster à Brooklyn,1,160.5,4 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,NewYork
